ds,y
2017-01-01,5.900000000000002
2017-01-02,15.399999999999997
2017-01-03,11.699999999999996
2017-01-04,12.0
2017-01-05,6.5
2017-01-06,16.199999999999992
2017-01-07,24.8
2017-01-08,18.699999999999992
2017-01-09,10.0
2017-01-10,12.899999999999999
2017-01-11,10.5
2017-01-12,15.5
2017-01-13,7.400000000000003
2017-01-14,18.0
2017-01-15,18.699999999999992
2017-01-16,17.399999999999995
2017-01-17,14.899999999999997
2017-01-18,15.300000000000006
2017-01-19,18.0
2017-01-20,13.899999999999999
2017-01-21,16.0
2017-01-22,18.39999999999999
2017-01-23,14.0
2017-01-24,18.39999999999999
2017-01-25,18.89999999999999
2017-01-26,15.399999999999997
2017-01-27,11.199999999999996
2017-01-28,18.199999999999992
2017-01-29,12.0
2017-01-30,10.300000000000004
2017-01-31,13.399999999999999
2017-02-01,8.0
2017-02-02,10.5
2017-02-03,16.300000000000008
2017-02-04,9.400000000000004
2017-02-05,7.599999999999997
2017-02-06,10.800000000000004
2017-02-07,17.0
2017-02-08,16.0
2017-02-09,11.300000000000004
2017-02-10,19.699999999999992
2017-02-11,8.0
2017-02-12,13.600000000000001
2017-02-13,13.100000000000001
2017-02-14,11.199999999999996
2017-02-15,16.0
2017-02-16,13.199999999999994
2017-02-17,10.400000000000004
2017-02-18,18.0
2017-02-19,14.699999999999994
2017-02-20,8.599999999999996
2017-02-21,22.699999999999992
2017-02-22,10.599999999999996
2017-02-23,10.300000000000004
2017-02-24,10.699999999999996
2017-02-25,17.399999999999995
2017-02-26,13.899999999999999
2017-02-27,14.300000000000006
2017-02-28,11.599999999999996
2017-03-01,16.600000000000005
2017-03-02,6.699999999999999
2017-03-03,18.5
2017-03-04,12.300000000000004
2017-03-05,7.199999999999998
2017-03-06,11.300000000000004
2017-03-07,15.100000000000003
2017-03-08,14.5
2017-03-09,14.600000000000003
2017-03-10,11.699999999999996
2017-03-11,11.800000000000004
2017-03-12,13.899999999999999
2017-03-13,14.100000000000001
2017-03-14,16.600000000000005
2017-03-15,9.400000000000004
2017-03-16,12.4
2017-03-17,12.5
2017-03-18,12.699999999999996
2017-03-19,8.599999999999996
2017-03-20,9.300000000000004
2017-03-21,11.300000000000004
2017-03-22,9.300000000000004
2017-03-23,7.400000000000003
2017-03-24,11.400000000000004
2017-03-25,16.399999999999995
2017-03-26,20.39999999999999
2017-03-27,10.300000000000004
2017-03-28,12.800000000000004
2017-03-29,9.5
2017-03-30,10.5
2017-03-31,8.199999999999998
2017-04-01,14.399999999999997
2017-04-02,5.0
2017-04-03,10.800000000000004
2017-04-04,8.800000000000002
2017-04-05,9.400000000000004
2017-04-06,7.599999999999997
2017-04-07,20.0
2017-04-08,16.600000000000005
2017-04-09,6.599999999999997
2017-04-10,10.599999999999996
2017-04-11,9.300000000000004
2017-04-12,12.300000000000004
2017-04-13,10.900000000000004
2017-04-14,10.400000000000004
2017-04-15,10.800000000000004
2017-04-16,12.1
2017-04-17,9.199999999999996
2017-04-18,10.099999999999996
2017-04-19,7.300000000000002
2017-04-20,9.099999999999996
2017-04-21,8.800000000000002
2017-04-22,11.5
2017-04-23,9.0
2017-04-24,6.5
2017-04-25,6.699999999999999
2017-04-26,7.0
2017-04-27,6.699999999999999
2017-04-28,6.800000000000001
2017-04-29,7.400000000000003
2017-04-30,6.900000000000003
2017-05-01,6.2
2017-05-02,12.899999999999999
2017-05-03,19.199999999999992
2017-05-04,7.599999999999997
2017-05-05,8.300000000000002
2017-05-06,10.099999999999996
2017-05-07,20.10000000000001
2017-05-08,26.200000000000003
2017-05-09,10.599999999999996
2017-05-10,8.400000000000004
2017-05-11,7.5
2017-05-12,12.1
2017-05-13,14.800000000000006
2017-05-14,8.699999999999998
2017-05-15,11.0
2017-05-16,10.0
2017-05-17,7.599999999999997
2017-05-18,8.900000000000004
2017-05-19,9.699999999999996
2017-05-20,12.1
2017-05-21,13.199999999999994
2017-05-22,10.0
2017-05-23,12.800000000000004
2017-05-24,10.699999999999996
2017-05-25,13.100000000000001
2017-05-26,14.199999999999994
2017-05-27,13.800000000000006
2017-05-28,11.599999999999996
2017-05-29,10.300000000000004
2017-05-30,13.199999999999994
2017-05-31,11.0
2017-06-01,11.599999999999996
2017-06-02,10.800000000000004
2017-06-03,10.800000000000004
2017-06-04,8.400000000000004
2017-06-05,10.300000000000004
2017-06-06,11.099999999999996
2017-06-07,20.60000000000001
2017-06-08,23.39999999999999
2017-06-09,9.5
2017-06-10,9.300000000000004
2017-06-11,10.099999999999996
2017-06-12,13.100000000000001
2017-06-13,9.599999999999996
2017-06-14,14.0
2017-06-15,11.099999999999996
2017-06-16,16.100000000000005
2017-06-17,12.300000000000004
2017-06-18,14.0
2017-06-19,10.900000000000004
2017-06-20,11.9
2017-06-21,13.800000000000006
2017-06-22,11.199999999999996
2017-06-23,15.0
2017-06-24,18.89999999999999
2017-06-25,17.399999999999995
2017-06-26,17.600000000000005
2017-06-27,13.699999999999994
2017-06-28,16.199999999999992
2017-06-29,15.0
2017-06-30,19.800000000000008
2017-07-01,10.599999999999996
2017-07-02,11.0
2017-07-03,19.10000000000001
2017-07-04,9.5
2017-07-05,12.0
2017-07-06,11.800000000000004
2017-07-07,18.60000000000001
2017-07-08,16.0
2017-07-09,10.400000000000004
2017-07-10,14.800000000000006
2017-07-11,10.599999999999996
2017-07-12,17.399999999999995
2017-07-13,20.10000000000001
2017-07-14,17.899999999999995
2017-07-15,25.10000000000001
2017-07-16,23.89999999999999
2017-07-17,23.60000000000001
2017-07-18,16.300000000000008
